micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-POLT-M3-2-007,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)","Right to Property (Removed) — Originally Art 31 — Removed by 44th Amendment (1978); Now Art 300A — Legal right, not fundamental right","Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-3-001,Polity,Mains Paper-III (M3-3),DIRECTIVE PRINCIPLES & FUNDAMENTAL DUTIES,"Directive Principles of State Policy (Part IV, Articles 36-51) — Non-justiciable but fundamental in governance; Classification:; Socialist — Art 38 (social order), Art 39 (equal pay, resources), Art 41 (right to work), Art 42 (maternity), Art 43 (living wage), Art 47 (nutrition, health) (+4 more)","Federal structure – Centre-State relations, issues",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-3-002,Polity,Mains Paper-III (M3-3),DIRECTIVE PRINCIPLES & FUNDAMENTAL DUTIES,"Fundamental Duties (Part IVA, Article 51A) — Added by 42nd Amendment (1976) — Swaran Singh Committee; 11 duties (11th added by 86th Amendment — education duty for parents); Key duties — Abide by Constitution, National flag/anthem respect, defend nation, promote harmony, protect environment, develop scientific temper, safeguard public property","Federal structure – Centre-State relations, issues",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-3-003,Polity,Mains Paper-III (M3-3),DIRECTIVE PRINCIPLES & FUNDAMENTAL DUTIES,"Relationship: FR, DPSP, FD — FR — Negative obligations on state (shall not do); DPSP — Positive obligations on state (shall do); FD — Obligations on citizens (+1 more)","Federal structure – Centre-State relations, issues",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-4-001,Polity,Mains Paper-III (M3-4),"UNION & STATE GOVERNMENT — EXECUTIVE, LEGISLATURE, JUDICIARY","President of India — Election — Electoral college (elected MPs + MLAs), proportional representation; Qualifications, Term (5 years), Impeachment (Art 61); Powers — Executive, Legislative, Judicial, Emergency, Diplomatic, Military (+2 more)","Local Self Government – Panchayati Raj, Municipalities, 73rd/74th Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-4-002,Polity,Mains Paper-III (M3-4),"UNION & STATE GOVERNMENT — EXECUTIVE, LEGISLATURE, JUDICIARY","Vice-President — Election — MPs of both houses, Ex-officio Chairman of Rajya Sabha; Becomes Acting President when vacancy","Local Self Government – Panchayati Raj, Municipalities, 73rd/74th Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-4-003,Polity,Mains Paper-III (M3-4),"UNION & STATE GOVERNMENT — EXECUTIVE, LEGISLATURE, JUDICIARY","Prime Minister & Council of Ministers — PM — Head of government, leader of majority in Lok Sabha; Council — Cabinet, Ministers of State, Deputy Ministers; Collective responsibility (Art 75) (+1 more)","Local Self Government – Panchayati Raj, Municipalities, 73rd/74th Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-4-004,Polity,Mains Paper-III (M3-4),"UNION & STATE GOVERNMENT — EXECUTIVE, LEGISLATURE, JUDICIARY",Parliament — Lok Sabha (House of the People):; 545 members (now 543 elected + 2 nominated Anglo-Indians abolished in 2020); Term — 5 years (can be dissolved earlier) (+17 more),"Local Self Government – Panchayati Raj, Municipalities, 73rd/74th Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-4-005,Polity,Mains Paper-III (M3-4),"UNION & STATE GOVERNMENT — EXECUTIVE, LEGISLATURE, JUDICIARY","State Legislature — Governor — Appointed by President, Constitutional head; Discretionary powers — Reservation of bills, Report on constitutional breakdown; Role controversy — G2M specific (Center-State relations) (+3 more)","Local Self Government – Panchayati Raj, Municipalities, 73rd/74th Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-4-006,Polity,Mains Paper-III (M3-4),"UNION & STATE GOVERNMENT — EXECUTIVE, LEGISLATURE, JUDICIARY","Judiciary — Supreme Court:; Chief Justice + other judges (currently 34); Original, Appellate, Advisory jurisdiction (+14 more)","Local Self Government – Panchayati Raj, Municipalities, 73rd/74th Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-001,Polity,Mains Paper-III (M3-5),FEDERAL STRUCTURE & CENTER-STATE RELATIONS,"Distribution of Powers — Union List (98 subjects) — Defence, Atomic energy, Foreign affairs, Currency; State List (59 subjects) — Public order, Police, Health, Agriculture, Land; Concurrent List (52 subjects) — Criminal law, Forests, Education, Marriage (+1 more)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-002,Polity,Mains Paper-III (M3-5),FEDERAL STRUCTURE & CENTER-STATE RELATIONS,"Legislative Relations — Union predominance — Art 249 (national interest), Art 250 (emergency), Art 252 (consent); Governor's role in bill passage — Assent, Withhold, Reserve for President","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-003,Polity,Mains Paper-III (M3-5),FEDERAL STRUCTURE & CENTER-STATE RELATIONS,"Administrative Relations — Art 256-263 — Union directives to states; All-India Services (IAS, IPS, IFoS) — Serve both Centre and States; Inter-State Council (Art 263)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-004,Polity,Mains Paper-III (M3-5),FEDERAL STRUCTURE & CENTER-STATE RELATIONS,"Financial Relations — Tax distribution — Finance Commission (Art 280) recommendations; Grants-in-aid (Art 275, 282); GST Council — Art 279A (cooperative federalism in taxation) (+1 more)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-005,Polity,Mains Paper-III (M3-5),FEDERAL STRUCTURE & CENTER-STATE RELATIONS,"Center-State Reform Commissions — Sarkaria Commission (1983-88) — Recommended strengthening ISC, Governor reforms; M.M. Punchchi Commission (2007-10) — Governor appointment reform, Art 356 curbs; Rajmannar Committee (Tamil Nadu, 1969) — State autonomy demands","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-006,Polity,Mains Paper-III (M3-5),FEDERAL STRUCTURE & CENTER-STATE RELATIONS,"Emergency Provisions — Art 352 — National Emergency (War, External aggression, Armed rebellion); 44th Amendment — ""Armed rebellion"" replaces ""internal disturbance""; Art 356 — President's Rule (State emergency / Constitutional machinery failure) (+2 more)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-007,Polity,Mains Paper-III (M3-5),LOCAL SELF-GOVERNMENT (PANCHAYATI RAJ & MUNICIPALITIES),"Evolution — Balwant Rai Mehta Committee (1957) — Three-tier Panchayati Raj; Ashok Mehta Committee (1977) — Two-tier, direct elections, constitutional status; G.V.K. Rao Committee (1985), L.M. Singhvi Committee (1986)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-008,Polity,Mains Paper-III (M3-5),LOCAL SELF-GOVERNMENT (PANCHAYATI RAJ & MUNICIPALITIES),"73rd Constitutional Amendment Act (1992) — Panchayats — Part IX (Art 243-243O); Three-tier structure — Gram Panchayat, Panchayat Samiti/Block, Zila Parishad; Direct elections to all tiers (+4 more)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-5-009,Polity,Mains Paper-III (M3-5),LOCAL SELF-GOVERNMENT (PANCHAYATI RAJ & MUNICIPALITIES),"74th Constitutional Amendment Act (1992) — Municipalities — Part IXA (Art 243P-243ZG); Three types — Nagar Panchayat, Municipal Council, Municipal Corporation; Ward committees, Direct elections (+3 more)","Parliament, State Legislatures, Judiciary – Structure, functioning",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-005,Polity,Mains Paper-III (M3-1),CONSTITUTIONAL & STATUTORY BODIES,"Bodies: — Election Commission (Art 324) — CEC + ECs, free & fair elections; UPSC (Art 315-323) — Recruitment, advisory role; Finance Commission (Art 280) — Tax devolution recommendations (+6 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-006,Polity,Mains Paper-III (M3-1),CONSTITUTIONAL & STATUTORY BODIES,"Statutory/Regulatory/Quasi-judicial Bodies: — NHRC — Human rights protection; NCSC, NCST, NCW, NCPCR — Specific group protections; CIC (Central Information Commission) — RTI implementation (+5 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-007,Polity,Mains Paper-III (M3-1),"RIGHTS ISSUES, GOVERNANCE, E-GOVERNANCE","Rights Issues — Human Rights — NHRC, UDHR, ICCPR, ICESCR; Women's Rights — Domestic Violence Act, POSH Act, Nirbhaya Act, Maternity Benefits; SC/ST Rights — SC/ST Prevention of Atrocities Act, Reservations (+2 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-008,Polity,Mains Paper-III (M3-1),"RIGHTS ISSUES, GOVERNANCE, E-GOVERNANCE","Good Governance — RTI Act 2005 — Transparency, accountability, citizens' empowerment; Citizen's Charter — Service delivery commitment; Social Audit — Community participation in governance monitoring (+2 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-009,Polity,Mains Paper-III (M3-1),"RIGHTS ISSUES, GOVERNANCE, E-GOVERNANCE","Impact of LPG on Governance — Liberalization — Reduced state control, regulatory governance; Privatization — PPP models, disinvestment; Globalization — International standards, WTO compliance","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-010,Polity,Mains Paper-III (M3-1),"RIGHTS ISSUES, GOVERNANCE, E-GOVERNANCE","E-Governance — Digital India Mission — e-services, DigiLocker, UMANG; Aadhaar — Unique identity, DBT; e-Courts, e-filing, online portals (+1 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-011,Polity,Mains Paper-III (M3-1),"ELECTIONS, PARTIES & INTERNATIONAL RELATIONS","Elections & Electoral Reforms — Election Commission — Structure, functions, Model Code of Conduct; Electoral system — FPTP (Lok Sabha/Vidhan Sabha), Proportional (RS/President); EVM, VVPAT, NOTA (+2 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-012,Polity,Mains Paper-III (M3-1),"ELECTIONS, PARTIES & INTERNATIONAL RELATIONS","Indian Political Parties — Recognition — National (6% votes in 4+ states), State parties; Multi-party system — INC, BJP, CPI(M), BSP, NCP, TMC, etc.; Regional parties — TDP, YSRCP, DMK, AIADMK, SP, JD(U) (+1 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-013,Polity,Mains Paper-III (M3-1),"ELECTIONS, PARTIES & INTERNATIONAL RELATIONS","India's Foreign Policy — Panchsheel (Five Principles of Peaceful Coexistence); Non-Alignment Movement (NAM) — Nehru, Nasser, Tito; Look East / Act East Policy (+2 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-014,Polity,Mains Paper-III (M3-1),"ELECTIONS, PARTIES & INTERNATIONAL RELATIONS","International Organizations — UN — Structure (GA, SC, ICJ, ECOSOC), India's bid for permanent UNSC seat; WTO — TRIPS, TRIMS, Agriculture Agreement; IMF, World Bank — Bretton Woods institutions (+1 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-7-001,Public Administration,Mains Paper-III (M3-7),PUBLIC ADMINISTRATION & GOVERNANCE (G1M Paper-III),Evolution of Public Administration in India,"Administrative thought – Kautilya, Mughal Administration, British legacy",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-7-002,Public Administration,Mains Paper-III (M3-7),Evolution of Public Administration in India,"Kautilya's Arthashastra — Saptanga theory, Mantriparishad","Administrative thought – Kautilya, Mughal Administration, British legacy",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-7-003,Public Administration,Mains Paper-III (M3-7),Evolution of Public Administration in India,"Mughal administration — Mansabdari, Revenue system","Administrative thought – Kautilya, Mughal Administration, British legacy",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-7-004,Public Administration,Mains Paper-III (M3-7),Evolution of Public Administration in India,"British legacy — ICS, Collector system, Rule of law","Administrative thought – Kautilya, Mughal Administration, British legacy",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-7-005,Public Administration,Mains Paper-III (M3-7),Evolution of Public Administration in India,"Post-independence — Administrative reforms, ARC I (Morarji Desai), ARC II (Veerappa Moily)","Administrative thought – Kautilya, Mughal Administration, British legacy",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-9-001,Public Administration,Mains Paper-III (M3-9),PUBLIC ADMINISTRATION & GOVERNANCE (G1M Paper-III),Development Process,"Civil Society, NGOs, SHGs, Citizen Participation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-9-002,Public Administration,Mains Paper-III (M3-9),Development Process,"Role of Civil Society, NGOs, SHGs","Civil Society, NGOs, SHGs, Citizen Participation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-9-003,Public Administration,Mains Paper-III (M3-9),Development Process,PPP (Public-Private Partnership) models,"Civil Society, NGOs, SHGs, Citizen Participation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-9-004,Public Administration,Mains Paper-III (M3-9),Development Process,Role of Civil Services in Democracy,"Civil Society, NGOs, SHGs, Citizen Participation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-10-001,Public Administration,Mains Paper-III (M3-10),PUBLIC ADMINISTRATION & GOVERNANCE (G1M Paper-III),E-Governance in Detail,"Civil Services – Role, accountability, code of conduct, e-Governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-10-002,Public Administration,Mains Paper-III (M3-10),E-Governance in Detail,"Citizen's Charter — Origin (UK), Indian adoption","Civil Services – Role, accountability, code of conduct, e-Governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-10-003,Public Administration,Mains Paper-III (M3-10),E-Governance in Detail,"RTI Act 2005 — Detailed provisions, impact","Civil Services – Role, accountability, code of conduct, e-Governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-10-004,Public Administration,Mains Paper-III (M3-10),E-Governance in Detail,Public Service Act/Guarantee Acts,"Civil Services – Role, accountability, code of conduct, e-Governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-10-005,Public Administration,Mains Paper-III (M3-10),E-Governance in Detail,"Social Audit — MGNREGA social audit, importance","Civil Services – Role, accountability, code of conduct, e-Governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-6-001,Public Administration,Mains Paper-III (M3-6),"Public Administration – Meaning, scope and significance","Public Administration – Meaning, nature, scope","Public Administration – Meaning, scope and significance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-6-002,Public Administration,Mains Paper-III (M3-6),"Public Administration – Meaning, scope and significance",Public vs Private Administration,"Public Administration – Meaning, scope and significance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-6-003,Public Administration,Mains Paper-III (M3-6),"Public Administration – Meaning, scope and significance",New Public Management and Good Governance,"Public Administration – Meaning, scope and significance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-6-004,Public Administration,Mains Paper-III (M3-6),"Public Administration – Meaning, scope and significance",Administrative law and delegated legislation,"Public Administration – Meaning, scope and significance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-8-001,Public Administration,Mains Paper-III (M3-8),"Public Policy – Formulation, implementation, evaluation","Public Policy – Definition, characteristics, types","Public Policy – Formulation, implementation, evaluation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-8-002,Public Administration,Mains Paper-III (M3-8),"Public Policy – Formulation, implementation, evaluation","Policy formulation – Agenda setting, stakeholders","Public Policy – Formulation, implementation, evaluation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-8-003,Public Administration,Mains Paper-III (M3-8),"Public Policy – Formulation, implementation, evaluation",Policy implementation – Top-down vs Bottom-up,"Public Policy – Formulation, implementation, evaluation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-8-004,Public Administration,Mains Paper-III (M3-8),"Public Policy – Formulation, implementation, evaluation",Policy evaluation – Impact assessment,"Public Policy – Formulation, implementation, evaluation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ADMIN-M3-8-005,Public Administration,Mains Paper-III (M3-8),"Public Policy – Formulation, implementation, evaluation",Role of bureaucracy in policy process,"Public Policy – Formulation, implementation, evaluation",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-11-001,Ethics & Law,Mains Paper-III (M3-11),ETHICS IN PUBLIC SERVICE (G1M Paper-III),Ethics & Human Interface,"Ethics – Concepts, dimensions, application in governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-11-002,Ethics & Law,Mains Paper-III (M3-11),Ethics & Human Interface,"Essence, determinants, consequences of ethics","Ethics – Concepts, dimensions, application in governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-11-003,Ethics & Law,Mains Paper-III (M3-11),Ethics & Human Interface,"Dimensions — Personal, Professional, Organizational","Ethics – Concepts, dimensions, application in governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-11-004,Ethics & Law,Mains Paper-III (M3-11),Ethics & Human Interface,Ethics in private and public relationships,"Ethics – Concepts, dimensions, application in governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-11-005,Ethics & Law,Mains Paper-III (M3-11),Ethics & Human Interface,Integrity and Accountability in public service,"Ethics – Concepts, dimensions, application in governance",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-12-001,Ethics & Law,Mains Paper-III (M3-12),ETHICS IN PUBLIC SERVICE (G1M Paper-III),Human Values,"Values – Human values, role of family, society, education",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-12-002,Ethics & Law,Mains Paper-III (M3-12),Human Values,"Harmony in existence — Human relationships, Nature","Values – Human values, role of family, society, education",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-12-003,Ethics & Law,Mains Paper-III (M3-12),Human Values,Gender equality in relationships,"Values – Human values, role of family, society, education",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-12-004,Ethics & Law,Mains Paper-III (M3-12),Human Values,"Role of family, society, educational institutions","Values – Human values, role of family, society, education",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-12-005,Ethics & Law,Mains Paper-III (M3-12),Human Values,"Lessons from great leaders — Gandhi, Ambedkar, Mandela","Values – Human values, role of family, society, education",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-13-001,Ethics & Law,Mains Paper-III (M3-13),ETHICS IN PUBLIC SERVICE (G1M Paper-III),Attitude,"Attitude – Content, structure, formation, influence on behaviour",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-13-002,Ethics & Law,Mains Paper-III (M3-13),Attitude,"Content, Functions, Influence","Attitude – Content, structure, formation, influence on behaviour",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-13-003,Ethics & Law,Mains Paper-III (M3-13),Attitude,Moral and Political attitudes,"Attitude – Content, structure, formation, influence on behaviour",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-13-004,Ethics & Law,Mains Paper-III (M3-13),Attitude,Social influence and persuasion,"Attitude – Content, structure, formation, influence on behaviour",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-13-005,Ethics & Law,Mains Paper-III (M3-13),Attitude,Emotional Intelligence in governance,"Attitude – Content, structure, formation, influence on behaviour",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-14-001,Ethics & Law,Mains Paper-III (M3-14),ETHICS IN PUBLIC SERVICE (G1M Paper-III),Professional Ethics in Governance,"Public service values, ethical governance, accountability",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-14-002,Ethics & Law,Mains Paper-III (M3-14),Professional Ethics in Governance,"Philosophical basis — Right understanding, Holistic technologies","Public service values, ethical governance, accountability",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-14-003,Ethics & Law,Mains Paper-III (M3-14),Professional Ethics in Governance,"Codes of Ethics, Codes of Conduct","Public service values, ethical governance, accountability",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-14-004,Ethics & Law,Mains Paper-III (M3-14),Professional Ethics in Governance,"Leadership Ethics, Work Culture","Public service values, ethical governance, accountability",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-ETHICS-M3-14-005,Ethics & Law,Mains Paper-III (M3-14),Professional Ethics in Governance,"Ethical issues — Corruption, International relations","Public service values, ethical governance, accountability",G1_ONLY,analytical,static+dynamic,shared_gs,,,,,mains,paper3
