micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-HIST-M2-2-010,History,Mains Paper-II (M2-2),VEDIC AGE,"Early Vedic Period (1500-1000 BCE) — Rig Vedic society — Pastoral, semi-nomadic; Political organization — Jana, Vis, Grama, Kula; Rajan, Sabha, Samiti; Economy — Cattle rearing (Gavishti = war for cows), agriculture secondary (+3 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-011,History,Mains Paper-II (M2-2),VEDIC AGE,"Later Vedic Period (1000-600 BCE) — Transition — Settled agriculture, use of iron (Krishna Ayas); Political changes — Large kingdoms (Kuru, Panchala), elaborate rituals; Economy — Agriculture dominant, trade expansion, Nishka as currency (+4 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-012,History,Mains Paper-II (M2-2),VEDIC AGE,"Vedic Literature — Shruti — Vedas, Brahmanas, Aranyakas, Upanishads; Smriti — Vedangas, Sutras, Epics, Puranas; Upanishads — Philosophical core (Brahman, Atman, Karma, Moksha)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-013,History,Mains Paper-II (M2-2),MAHAJANAPADAS & NEW RELIGIONS (JAINISM & BUDDHISM),"Mahajanapadas (16 Great Kingdoms) — Background — 6th century BCE, Second urbanization; List — Anga, Magadha, Vatsa, Kosala, Kuru, Panchala, Matsya, Surasena,; Four powerful — Magadha, Kosala, Vatsa, Avanti (+2 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-014,History,Mains Paper-II (M2-2),MAHAJANAPADAS & NEW RELIGIONS (JAINISM & BUDDHISM),"Rise of Magadha — Geographical advantages — Iron, fertile soil, strategic location; Haryanka dynasty — Bimbisara, Ajatashatru (Pataliputra); Shishunaga dynasty — Destroyed Avanti (+1 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-015,History,Mains Paper-II (M2-2),MAHAJANAPADAS & NEW RELIGIONS (JAINISM & BUDDHISM),"Jainism — Mahavira (24th Tirthankara) — Life and teachings; Rishabhadeva (1st Tirthankara), Parshvanatha (23rd); Core doctrines — Tri-ratna (Right faith, Right knowledge, Right conduct) (+7 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-016,History,Mains Paper-II (M2-2),MAHAJANAPADAS & NEW RELIGIONS (JAINISM & BUDDHISM),"Buddhism — Gautama Buddha — Life events (Four sights, Great Renunciation, Enlightenment); Core teachings — Four Noble Truths, Noble Eightfold Path; Middle Path (Madhyama Pratipada) (+13 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-001,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,"Chandragupta Maurya — Overthrow of Nandas with Chanakya's guidance; Defeat of Seleucus Nicator — Treaty, marriage alliance, Megasthenes; Kautilya's Arthashastra — Saptanga theory, statecraft, espionage (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-002,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,Bindusara — Amitraghata (Slayer of enemies); Greek ambassadors — Deimachus; Expansion to Deccan,"Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-003,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,"Ashoka — Kalinga War (261 BCE) — Transformation; Ashoka's Dhamma — Moral code, tolerance, non-violence; Rock Edicts, Pillar Edicts, Cave inscriptions (+3 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-004,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,"Administration — Central — King, Council of Ministers (Mantriparishad); Provincial — 4 provinces (Taxila, Ujjain, Tosali, Suvarnagiri) + Pataliputra; District, Village level administration (+4 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-005,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,"Economy — Agriculture — State-controlled irrigation, new lands; Trade — Internal routes, external trade (Hellenistic world); Crafts and guilds (Shrenis) (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-006,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,Society & Culture — Varna system with some flexibility; Slavery existed but less harsh; Megasthenes' Indica — Seven-fold division of society (+2 more),"Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-007,History,Mains Paper-II (M2-3),MAURYAN EMPIRE,"Decline — Weak successors after Ashoka; Over-centralized administration; Financial crisis (large army, bureaucracy) (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-008,History,Mains Paper-II (M2-3),FOREIGN INVASIONS & THE KUSHANS,"Indo-Greeks (Bactrian Greeks) — Menander (Milinda) — Milindapanho, patronized Buddhism; Introduction of Hellenistic art, coinage with king's portrait; Impact on Indian astronomy, astrology","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-009,History,Mains Paper-II (M2-3),FOREIGN INVASIONS & THE KUSHANS,"Shakas (Scythians) — Maues, Rudradaman I — Junagadh/Girnar inscription (first Sanskrit inscription); Western Kshatrapas","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-010,History,Mains Paper-II (M2-3),FOREIGN INVASIONS & THE KUSHANS,Parthians (Pahlavas) — Gondophernes — St. Thomas tradition,"Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-011,History,Mains Paper-II (M2-3),FOREIGN INVASIONS & THE KUSHANS,"Kushans — Origin — Yuezhi tribe, Central Asia; Kujula Kadphises — Founder; Vima Kadphises — Gold coins (+7 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-012,History,Mains Paper-II (M2-3),FOREIGN INVASIONS & THE KUSHANS,"Impact of Foreign Invasions — New art forms — Gandhara school (Greco-Buddhist); Coinage development — Gold coins, portraits; Cultural fusion — Indo-Greek, Indo-Scythian art (+2 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-013,History,Mains Paper-II (M2-3),SATAVAHANAS & SANGAM AGE,"Satavahanas — Founder — Simuka; Capital — Pratishthana (Paithan); Important rulers — Satakarni I, Gautamiputra Satakarni, Vasishthiputra Pulumayi; Gautamiputra Satakarni — Greatest, destroyed Shakas, Nashik inscription (+7 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,ap_specific,,,,,mains,paper2
MT-HIST-M2-3-014,History,Mains Paper-II (M2-3),SATAVAHANAS & SANGAM AGE,"Sangam Age (South India, 3rd c. BCE - 3rd c. CE) — Three Sangams — Madurai literary assemblies; Three Kingdoms:; Cheras — Vanji, Muziris port, Roman trade (+12 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,ap_specific,,,,,mains,paper2
MT-HIST-M2-3-015,History,Mains Paper-II (M2-3),SUNGAS & GUPTA EMPIRE,"Sungas — Pushyamitra Sunga — Overthrew last Maurya; Vedic revival — Horse sacrifice (Ashvamedha); Patronage of art — Bharhut, Sanchi expansions (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-016,History,Mains Paper-II (M2-3),SUNGAS & GUPTA EMPIRE,"Gupta Empire — ""Golden Age of India"" — Founders & Rulers:; Sri Gupta, Ghatotkacha (early rulers); Chandragupta I — Lichchhavi alliance, Pataliputra capital, Gupta Era (320 CE) (+42 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-017,History,Mains Paper-II (M2-3),HARSHA & THE KANAUJ,"Harshavardhana (606-647 CE) — Pushyabhuti dynasty — Capital: Thanesar, then Kanauj; Unification of North India; Military campaigns — Defeated by Pulakeshin II (Chalukya) at Narmada (+7 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-018,History,Mains Paper-II (M2-3),HARSHA & THE KANAUJ,"Post-Harsha Period — Tripartite struggle for Kanauj — Pratiharas, Palas, Rashtrakutas; Gurjara-Pratiharas — Mihira Bhoja, Rajput origins; Palas — Dharmapala, Devapala, Buddhist patronage, Vikramashila University (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-019,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Pallavas — Region — Tondaimandalam (Kanchipuram); Notable rulers — Mahendravarman I, Narasimhavarman I (Mamalla); Narasimhavarman I — Defeated Pulakeshin II, Mamallapuram (Mahabalipuram) (+2 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-020,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Badami Chalukyas (Western Chalukyas) — Region — Vatapi/Badami (Karnataka); Pulakeshin II — Greatest, defeated Harsha, Aihole inscription (Ravikirti); Art — Badami caves, Aihole, Pattadakal temples (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-021,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Eastern Chalukyas (of Vengi) — Region — Vengi (Andhra), offshoot of Badami Chalukyas; Key rulers — Kubja Vishnuvardhana (founder); Telugu language development, patronage of Sanskrit & Telugu (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,ap_specific,,,,,mains,paper2
MT-HIST-M2-3-022,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Rashtrakutas — Capital — Manyakheta (Malkhed); Founders — Dantidurga, Krishna I; Krishna I — Kailasa temple at Ellora (greatest rock-cut temple) (+3 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-023,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Kalyani Chalukyas (Later Western Chalukyas) — Revived Chalukya power — Tailapa II; Vikramaditya VI — Vikrama Era, Vikramankadeva Charita (Bilhana); Art — Continued temple-building tradition","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-024,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Cholas (Imperial Cholas) — Revival — Vijayalaya (captured Thanjavur from Pandyas); Rajaraja I:; Conquered Lanka, Maldives, parts of Kerala (+20 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-025,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Hoysalas — Region — Karnataka (Dvarasamudra/Halebidu); Notable — Vishnuvardhana (converted from Jainism to Vaishnavism); Art — Belur, Halebidu, Somnathpur temples (star-shaped, intricate) (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-026,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),Yadavas (Seuna/Devagiri) — Region — Maharashtra (Devagiri); Patronage of Marathi literature; Defeated by Ala-ud-din Khilji,"Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-027,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Kakatiyas — Region — Warangal (Andhra/Telangana); Key rulers — Prataparudra I, Ganapati Deva, Rudrama Devi (rare woman ruler), Prataparudra II; Warangal Fort — Famous thousand-pillar temple (Hanamkonda) (+4 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-3-028,History,Mains Paper-II (M2-3),SOUTH INDIAN DYNASTIES (POST-SANGAM TO PRE-SULTANATE),"Reddis — Region — Coastal Andhra (Kondavidu, Rajahmundry); Patronage of Telugu literature; Prolaya Vema Reddi — Founder (post-Kakatiya) (+1 more)","Mauryas, Post-Mauryan, Guptas, Chola, Chalukya dynasties",G2_PLUS,analytical,static,ap_specific,,,,,mains,paper2
MT-HIST-M2-4-001,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Advent of Islam & Early Invasions — Arab invasion — Muhammad bin Qasim (712 CE, Sindh); Mahmud of Ghazni — 17 raids (1000-1027 CE), Somnath temple; Muhammad of Ghor — Battles of Tarain (1191, 1192), defeated Prithviraj III","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-002,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Slave/Mamluk Dynasty (1206-1290) — Qutb-ud-din Aibak — Qutub Minar (started), Quwwat-ul-Islam mosque; Iltutmish — Completed Qutub Minar, introduced silver Tanka, copper Jital; Razia Sultana — First woman ruler of Delhi (+1 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-003,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Khalji Dynasty (1290-1320) — Jalal-ud-din Khalji — Founder; Ala-ud-din Khalji:; Market control system (4 markets, Shahna-i-Mandi) (+5 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-004,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Tughlaq Dynasty (1320-1414) — Ghiyasuddin Tughlaq — Founder, defeated Kakatiyas; Muhammad bin Tughlaq:; Token currency (bronze coins) (+8 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-005,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Sayyid & Lodi Dynasties (1414-1526) — Sayyids — Puppet rulers, Timur's invasion aftermath; Lodis — Bahlol Lodi, Sikandar Lodi (Agra founded), Ibrahim Lodi (defeated at Panipat 1526); Afghan nobles vs. Sultanate authority","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-006,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Administration — Sultan — Absolute power, Shariat law; Central — Wazir, Diwan-i-Risalat, Diwan-i-Insha, Diwan-i-Arz; Provincial — Iqta system (land grants for military service) (+2 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-007,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Economy & Society — Agriculture — New crops (cotton textiles for export); Trade — Internal and external, karkhanas (royal workshops); Urban growth — Delhi as major city (+2 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-008,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Art & Architecture — Indo-Islamic architecture — Arches, domes, minarets; Qutub Minar, Alai Darwaza, Tughlaqabad Fort; Lodi Gardens, Lodi tombs","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-009,History,Mains Paper-II (M2-4),DELHI SULTANATE,"Literature — Persian as court language; Amir Khusrau — Father of Qawwali, Hindi literature; Zia-ud-din Barani — Tarikh-i-Firoz Shahi","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-010,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Foundation & Dynasties — Founded by Harihara I & Bukka Raya I (1336) — Sangama dynasty; Inspired by Vidyaranya (sage); Four dynasties — Sangama, Saluva, Tuluva, Aravidu (+1 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-011,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Key Rulers — Devaraya II — Greatest Sangama ruler, employed Muslims in army; Krishnadevaraya (Tuluva dynasty) — Greatest overall; Ashtadiggajas (eight great Telugu poets) (+4 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,ap_specific,,,,,mains,paper2
MT-HIST-M2-4-012,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Administration — Central — King, Council of Ministers (Pradhani); Nayankara system — Military governors (Nayaks); Ayagar system — Village administration (12 functionaries) (+2 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-013,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Economy — Agriculture — Irrigation tanks, canals; Trade — International (Portuguese, Arabs), spices, textiles, diamonds; Craft guilds, market towns (+2 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-014,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Society — Caste system prevalent; Practice of Sati, Devadasi system; Women — Some education, Rudrama Devi-type exceptions (+1 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-015,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Religion & Culture — Vaishnavism and Shaivism dominant; Temple as center of social, economic, cultural life; Bhakti movement — Purandaradasa, Kanakadasa, Tallapaka poets (AP)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-016,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Art & Architecture — Dravidian style — Gopurams, Mandapas, Raya Gopurams; Hampi monuments — Vitthala temple (stone chariot, musical pillars); Hazara Rama temple, Lotus Mahal, Elephant stables (+1 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-017,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Literature — Telugu golden age — Ashtadiggajas: Allasani Peddana, Nandi Timmana, etc.; Kannada — Purandaradasa (Carnatic music father); Sanskrit — Continued patronage (+1 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,ap_specific,,,,,mains,paper2
MT-HIST-M2-4-018,History,Mains Paper-II (M2-4),VIJAYANAGAR EMPIRE,"Decline — Battle of Talikota / Rakkasa-Tangadi (1565) — Deccan sultanates alliance; Destruction of Hampi; Aravidu dynasty — Shifted to Penukonda, Chandragiri (+1 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-4-019,History,Mains Paper-II (M2-4),MUGHAL EMPIRE,"Babur (1526-1530) — First Battle of Panipat (1526) — Defeated Ibrahim Lodi; Battle of Khanwa (1527) — Defeated Rana Sanga; Battle of Chanderi (1528), Battle of Ghaghra (1529) (+2 more)","Delhi Sultanate, Vijayanagar, Mughal Empire, Bhakti & Sufi Movements",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
