pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary,notes
APPSC-G1-2020-P4-9A,APPSC,2020,paper4,9A,Economy,MT-ECON-M4-9-001,ANALYTICAL,L3,medium,first_time,false,Contrast industrial policy 1980 vs 1991 for small enterprises,Industrial policy evolution
APPSC-G1-2020-P4-9B,APPSC,2020,paper4,9B,Economy,MT-ECON-M4-9-001,ANALYTICAL,L3,medium,first_time,false,Public sector performance in Indian economy - critical examination,Public sector evaluation
APPSC-G1-2020-P4-10A,APPSC,2020,paper4,10A,Economy,MT-ECON-M4-9-006,ANALYTICAL,L3,medium,first_time,false,Critical issues to address before implementing disinvestment policy,Disinvestment policy issues
APPSC-G1-2020-P4-10B,APPSC,2020,paper4,10B,Economy,MT-ECON-M4-10-001,ANALYTICAL,L3,medium,first_time,false,Challenges of AP industrial sector and strategies to face them,ap_specific; AP industry challenges
APPSC-G1-2020-P4-11A,APPSC,2020,paper4,11A,Economy,MT-ECON-M4-10-001,SCHEME,L2,medium,first_time,false,AP government initiatives for agro and food processing industry,ap_specific; AP food processing
APPSC-G1-2020-P4-11B,APPSC,2020,paper4,11B,Economy,MT-ECON-M4-11-005,ANALYTICAL,L3,hard,first_time,false,Marginal cost pricing rule for public utilities and its problems,Economic theory - public utilities
APPSC-G1-2020-P4-12A,APPSC,2020,paper4,12A,Economy,MT-ECON-M4-11-005,ANALYTICAL,L3,hard,repeat_topic,false,PPP problems in India and recommendations for future action,PPP issues repeat from 2017
APPSC-G1-2020-P4-12B,APPSC,2020,paper4,12B,Economy,MT-ECON-M4-1-007,ANALYTICAL,L2,medium,first_time,false,AP government long-term agenda for infrastructure development,ap_specific; AP infrastructure plan
APPSC-G1-2020-P4-13A,APPSC,2020,paper4,13A,Economy,MT-ECON-M4-11-004,ANALYTICAL,L3,medium,first_time,false,Government of India Smart Cities initiatives and challenges,Smart Cities Mission
APPSC-G1-2020-P4-13B,APPSC,2020,paper4,13B,Economy,MT-ECON-M4-10-001,STATIC,L2,medium,repeat_topic,false,AP Industrial Policy statement 2015-20,ap_specific; repeat from 2016
APPSC-G1-2020-P4-14A,APPSC,2020,paper4,14A,Economy,MT-ECON-M4-12-006,ANALYTICAL,L3,medium,first_time,false,AP energy sector challenges and vision targets,ap_specific; AP power/energy
APPSC-G1-2020-P4-14B,APPSC,2020,paper4,14B,Economy,MT-ECON-M4-7-001,ANALYTICAL,L2,medium,first_time,false,Vision 2020 major initiatives for agriculture sector in India,Agriculture vision document
APPSC-G1-2020-P4-15A,APPSC,2020,paper4,15A,Economy,MT-ECON-M4-6-002,SCHEME,L2,medium,first_time,false,PMEGP objectives and benefits received under the scheme,Employment generation scheme
APPSC-G1-2020-P4-15B,APPSC,2020,paper4,15B,Economy,MT-ECON-M4-10-002,ANALYTICAL,L2,medium,first_time,false,Four pillars for developing strong IT in Andhra Pradesh,ap_specific; AP IT sector
APPSC-G1-2023-P4-1A,APPSC,2023,paper4,1A,Economy,MT-ECON-M4-9-002,ANALYTICAL,L4,hard,first_time,true,Impact of New Age reforms on Indian economy in last 8 years and growth 2023-30,CA_linked to recent reform era
APPSC-G1-2023-P4-1B,APPSC,2023,paper4,1B,Economy,MT-ECON-M4-1-016,ANALYTICAL,L3,hard,first_time,true,Exchange rate determination of Indian Rupee and RBI role in defending it,CA_linked to rupee depreciation
APPSC-G1-2023-P4-2A,APPSC,2023,paper4,2A,Economy,MT-ECON-M4-3-001,ANALYTICAL,L3,hard,first_time,false,Monetary Policy Transmission issues and steps to overcome them,Monetary policy transmission mechanism
APPSC-G1-2023-P4-2B,APPSC,2023,paper4,2B,Economy,MT-ECON-M4-4-004,ANALYTICAL,L3,medium,first_time,false,Fiscal policy tools and customs/excise as flexible tools for revenue and inflation,Fiscal instruments analysis
APPSC-G1-2023-P4-3A,APPSC,2023,paper4,3A,Economy,MT-ECON-M4-2-007,ANALYTICAL,L3,hard,first_time,false,Externally aided projects and AP Irrigation Agriculture Transformation Project,ap_specific; APATP external aid
APPSC-G1-2023-P4-3B,APPSC,2023,paper4,3B,Economy,MT-ECON-M4-1-008,ANALYTICAL,L3,hard,repeat_topic,false,Impact of bifurcation on AP economy - sectoral changes and resource gap,ap_specific; bifurcation impact repeat
APPSC-G1-2023-P4-4A,APPSC,2023,paper4,4A,Economy,MT-ECON-M4-4-006,ANALYTICAL,L2,medium,first_time,false,GST meaning and steps for trade facilitation and ease of doing business,GST + ease of business
APPSC-G1-2023-P4-4B,APPSC,2023,paper4,4B,Economy,MT-ECON-M4-4-005,ANALYTICAL,L3,hard,first_time,false,15th Finance Commission recommendations on fiscal consolidation and progress,15th FC + fiscal consolidation
APPSC-G1-2023-P4-5A,APPSC,2023,paper4,5A,Economy,MT-ECON-M4-4-001,ANALYTICAL,L3,medium,first_time,false,Budgetary policy for resource reallocation and AP Budget 2023-24 social services,ap_specific; CA_linked AP budget
APPSC-G1-2023-P4-5B,APPSC,2023,paper4,5B,Economy,MT-ECON-M4-4-009,ANALYTICAL,L3,medium,first_time,false,Gender Budgeting and Child Budgeting meaning and AP practice evaluation,ap_specific; specialized budgeting
APPSC-G1-2023-P4-6A,APPSC,2023,paper4,6A,Economy,MT-ECON-M4-6-013,ANALYTICAL,L3,hard,first_time,false,Differentiated Banking Policy for financial inclusion and Digital Banking potential,Financial inclusion via banking
APPSC-G1-2023-P4-6B,APPSC,2023,paper4,6B,Economy,MT-ECON-M4-6-007,ANALYTICAL,L3,medium,first_time,false,Challenges of women entrepreneurs and government schemes for them,Women entrepreneurship support
APPSC-G1-2023-P4-7A,APPSC,2023,paper4,7A,Economy,MT-ECON-M4-7-004,ANALYTICAL,L2,medium,repeat_topic,false,Types and sources of agricultural credit and government initiatives,Agri credit repeat theme
APPSC-G1-2023-P4-7B,APPSC,2023,paper4,7B,Economy,MT-ECON-M4-7-001,ANALYTICAL,L3,medium,first_time,false,Sustainable agriculture meaning and practices and suggestions for income,Sustainable agriculture focus
APPSC-G1-2023-P4-8A,APPSC,2023,paper4,8A,Economy,MT-ECON-M4-7-003,ANALYTICAL,L3,medium,first_time,false,Farm mechanization scope benefits and CHCs implementation in AP,ap_specific; AP farm mechanization
APPSC-G1-2023-P4-8B,APPSC,2023,paper4,8B,Economy,MT-ECON-M4-8-006,ANALYTICAL,L3,medium,first_time,false,Marine fishery resources in AP and steps for fishermen welfare,ap_specific; AP fisheries sector
APPSC-G1-2023-P4-9A,APPSC,2023,paper4,9A,Economy,MT-ECON-M4-9-006,ANALYTICAL,L3,hard,repeat_topic,false,Strategic disinvestment methods since DOD became DIPAM and outcomes,Disinvestment repeat from 2020
APPSC-G1-2023-P4-9B,APPSC,2023,paper4,9B,Economy,MT-ECON-M4-9-003,ANALYTICAL,L3,hard,first_time,true,Industrial Revolution 4.0 impact on India manufacturing and PLI schemes,CA_linked to PLI and Industry 4.0
APPSC-G1-2023-P4-10A,APPSC,2023,paper4,10A,Economy,MT-ECON-M4-9-005,ANALYTICAL,L3,medium,first_time,false,MSMEs in AP importance and Dr YSR Navodayam ReSTART programmes,ap_specific; AP MSME schemes
APPSC-G1-2023-P4-10B,APPSC,2023,paper4,10B,Economy,MT-ECON-M4-9-004,ANALYTICAL,L3,hard,repeat_topic,false,VCICDP Vizag-Chennai Industrial Corridor development and socio-economic impact,ap_specific; repeat corridor theme
APPSC-G1-2023-P4-11A,APPSC,2023,paper4,11A,Economy,MT-ECON-M4-11-003,ANALYTICAL,L3,hard,first_time,true,Digital Public Infrastructure impact on socio-economic development and digital divide,CA_linked to DPI
APPSC-G1-2023-P4-11B,APPSC,2023,paper4,11B,Economy,MT-ECON-M4-11-004,ANALYTICAL,L3,medium,repeat_topic,false,Smart City features role in economic development and financing challenges,Smart cities repeat from 2020
APPSC-G1-2023-P4-12A,APPSC,2023,paper4,12A,Economy,MT-ECON-M4-3-006,ANALYTICAL,L3,hard,first_time,true,AP PUSH strategy for Export Promotion Policy 2022-27 and export challenges,ap_specific; CA_linked export policy
APPSC-G1-2023-P4-12B,APPSC,2023,paper4,12B,Economy,MT-ECON-M4-12-002,ANALYTICAL,L3,medium,first_time,false,Civil Aviation policy framework in AP and Greenfield airport development,ap_specific; AP aviation
APPSC-G1-2023-P4-13A,APPSC,2023,paper4,13A,Economy,MT-ECON-M4-1-014,ANALYTICAL,L4,very_hard,first_time,true,Low global growth and high inflation impact on India growth and inflation targeting,CA_linked to global slowdown
APPSC-G1-2023-P4-13B,APPSC,2023,paper4,13B,Economy,MT-ECON-M4-2-008,ANALYTICAL,L3,hard,first_time,false,Factors spurring FDI in India and consolidated FDI policy features and equity inflows,FDI policy and trends
APPSC-G1-2023-P4-14A,APPSC,2023,paper4,14A,Economy,MT-ECON-M4-2-006,ANALYTICAL,L3,hard,repeat_topic,false,Reasons for higher public debt in India and debt sustainability scope,Public debt repeat from 2017+2020
APPSC-G1-2023-P4-14B,APPSC,2023,paper4,14B,Economy,MT-ECON-M4-6-011,ANALYTICAL,L3,medium,first_time,false,Women development to women-led development via education skilling microfinance,Women empowerment shift
APPSC-G1-2023-P4-15A,APPSC,2023,paper4,15A,Economy,MT-ECON-M4-7-001,ANALYTICAL,L3,medium,repeat_topic,false,Impact of rainbow revolution and industrial transformation in Indian agriculture,Rainbow revolution repeat from 2020
APPSC-G1-2023-P4-15B,APPSC,2023,paper4,15B,Economy,MT-ECON-M4-7-005,ANALYTICAL,L3,medium,repeat_topic,false,Agricultural market regulation in India and e-NAM farmer-market linkages,e-NAM repeat from 2020
APPSC-G1-2025-P4-1A,APPSC,2025,paper4,1A,Economy,MT-ECON-M4-1-015,ANALYTICAL,L4,very_hard,first_time,true,India Current Account Deficit and Balance of Payments factors and implications,CA_linked to recent BOP data
APPSC-G1-2025-P4-1B,APPSC,2025,paper4,1B,Economy,MT-ECON-M4-1-005,ANALYTICAL,L3,hard,first_time,false,Infrastructure bottlenecks hindering manufacturing sector growth in India,Manufacturing + infrastructure linkage
APPSC-G1-2025-P4-2A,APPSC,2025,paper4,2A,Economy,MT-ECON-M4-3-001,ANALYTICAL,L3,hard,repeat_topic,false,Key instruments of Monetary and Fiscal Policy and role in resource mobilization,Monetary+Fiscal policy repeat theme
APPSC-G1-2025-P4-2B,APPSC,2025,paper4,2B,Economy,MT-ECON-M4-2-006,ANALYTICAL,L3,medium,repeat_topic,false,Internal vs external public debt advantages and risks for developing country,Public debt internal vs external
APPSC-G1-2025-P4-3A,APPSC,2025,paper4,3A,Economy,MT-ECON-M4-6-003,ANALYTICAL,L3,hard,first_time,false,Role of education and healthcare in inclusive sustainable development in India,Education + health for development
APPSC-G1-2025-P4-3B,APPSC,2025,paper4,3B,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,medium,repeat_topic,false,Major sources of budgetary resources for AP and resource mobilization challenges,ap_specific; AP budget resources repeat
APPSC-G1-2025-P4-4A,APPSC,2025,paper4,4A,Economy,MT-ECON-M4-4-001,ANALYTICAL,L2,medium,repeat_topic,false,Government Budget meaning types of public expenditure and classification,Budget concept - repeat theme
APPSC-G1-2025-P4-4B,APPSC,2025,paper4,4B,Economy,MT-ECON-M4-4-003,ANALYTICAL,L2,medium,repeat_exact,false,Define deficit in government finance and various deficit types and implications,Deficit types near-exact repeat from 2020
APPSC-G1-2025-P4-5A,APPSC,2025,paper4,5A,Economy,MT-ECON-M4-5-003,ANALYTICAL,L3,hard,first_time,false,State Finance Commission role in AP for local finances and fiscal decentralization,ap_specific; SFC role
